mqtt,0,sender,1.0,0.03,X,0.0003,100
protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead
mqtt,X,receiver,1.0,X,0.01,0.0185,X
mqtt,X,receiver,20.0,X,0.50,0.0165,X
mqtt,0,sender,20.0,0.52,X,0.0002,672
mqtt,X,receiver,0.244140625,X,0.00,0.0142,X
mqtt,0,sender,0.244140625,0.01,X,0.0002,87
mqtt,X,receiver,50.0,X,1.27,0.0161,X
mqtt,0,sender,50.0,1.28,X,0.0002,1573
mqtt,X,receiver,5.0,X,0.12,0.0167,X
mqtt,0,sender,5.0,0.13,X,0.0002,221
mqtt,X,receiver,1.0,X,0.02,0.0168,X
mqtt,1,sender,1.0,0.03,X,0.0005,106
mqtt,X,receiver,20.0,X,0.51,0.0165,X
mqtt,1,sender,20.0,0.52,X,0.0005,754
mqtt,X,receiver,0.244140625,X,0.00,0.0143,X
mqtt,1,sender,0.244140625,0.01,X,0.0004,91
mqtt,X,receiver,50.0,X,1.28,0.0157,X
mqtt,1,sender,50.0,1.30,X,0.0005,1775
mqtt,X,receiver,5.0,X,0.12,0.0175,X
mqtt,1,sender,5.0,0.13,X,0.0004,243
mqtt,X,receiver,1.0,X,0.02,0.0206,X
mqtt,2,sender,1.0,0.03,X,0.0007,106
mqtt,X,receiver,20.0,X,0.52,0.0173,X
mqtt,2,sender,20.0,0.53,X,0.0007,754
mqtt,X,receiver,0.244140625,X,0.00,0.0150,X
mqtt,2,sender,0.244140625,0.01,X,0.0007,91
mqtt,X,receiver,50.0,X,1.30,0.0204,X
mqtt,2,sender,50.0,1.32,X,0.0007,1775
mqtt,X,receiver,5.0,X,0.12,0.0181,X
mqtt,2,sender,5.0,0.13,X,0.0005,243
