mqtt,0,sender,1.0,0.02,X,0.0003,85
protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead
mqtt,X,receiver,1.0,X,0.00,0.0234,X
mqtt,X,receiver,20.0,X,0.29,0.0211,X
mqtt,0,sender,20.0,0.31,X,0.0003,372
mqtt,X,receiver,0.244140625,X,0.00,0.0142,X
mqtt,0,sender,0.244140625,0.01,X,0.0002,87
mqtt,X,receiver,50.0,X,0.75,0.0213,X
mqtt,0,sender,50.0,0.76,X,0.0002,822
mqtt,X,receiver,5.0,X,0.07,0.0215,X
mqtt,0,sender,5.0,0.08,X,0.0002,145
mqtt,X,receiver,1.0,X,0.01,0.0209,X
mqtt,1,sender,1.0,0.02,X,0.0006,89
mqtt,X,receiver,20.0,X,0.30,0.0219,X
mqtt,1,sender,20.0,0.31,X,0.0004,414
mqtt,X,receiver,0.244140625,X,0.00,0.0142,X
mqtt,1,sender,0.244140625,0.01,X,0.0004,91
mqtt,X,receiver,50.0,X,0.75,0.0208,X
mqtt,1,sender,50.0,0.76,X,0.0004,924
mqtt,X,receiver,5.0,X,0.07,0.0226,X
mqtt,1,sender,5.0,0.08,X,0.0004,157
mqtt,X,receiver,1.0,X,0.01,0.0203,X
mqtt,2,sender,1.0,0.02,X,0.0006,89
mqtt,X,receiver,20.0,X,0.29,0.0220,X
mqtt,2,sender,20.0,0.31,X,0.0006,414
mqtt,X,receiver,0.244140625,X,0.00,0.0140,X
mqtt,2,sender,0.244140625,0.01,X,0.0006,91
mqtt,X,receiver,50.0,X,0.76,0.0200,X
mqtt,2,sender,50.0,0.78,X,0.0006,924
mqtt,X,receiver,5.0,X,0.07,0.0217,X
mqtt,2,sender,5.0,0.08,X,0.0005,157
